target,momentum_decile,si_decile,n,events,event_rate,momentum_row_n,momentum_row_event_rate,incremental_vs_momentum_row,incremental_lift_vs_momentum_row,overall_event_rate
down_7pct_5d,9,2,426,21,0.04929577464788732,3007,0.08713002993016296,-0.03783425528227564,0.5657724975809052,0.08431223321531385
down_7pct_5d,9,3,299,14,0.046822742474916385,3007,0.08713002993016296,-0.040307287455246574,0.5373892619163113,0.08431223321531385
down_7pct_5d,9,4,249,30,0.12048192771084337,3007,0.08713002993016296,0.033351897780680415,1.3827830405591832,0.08431223321531385
down_7pct_5d,9,5,276,33,0.11956521739130435,3007,0.08713002993016296,0.03243518746114139,1.3722618652505807,0.08431223321531385
down_7pct_5d,9,6,358,23,0.06424581005586592,3007,0.08713002993016296,-0.022884219874297035,0.7373555375495756,0.08431223321531385
down_7pct_5d,9,7,310,38,0.12258064516129032,3007,0.08713002993016296,0.03545061523112736,1.4068702290076334,0.08431223321531385
down_7pct_5d,9,8,212,9,0.04245283018867924,3007,0.08713002993016296,-0.044677199741483715,0.4872353449517499,0.08431223321531385
down_7pct_5d,9,9,330,36,0.10909090909090909,3007,0.08713002993016296,0.021960879160746127,1.2520471894517695,0.08431223321531385
down_7pct_5d,9,10,181,25,0.13812154696132597,3007,0.08713002993016296,0.05099151703116302,1.5852347011935388,0.08431223321531385
down_7pct_5d,10,1,451,45,0.09977827050997783,3147,0.1509374006990785,-0.05115913018910066,0.661057299568211,0.08431223321531385
down_7pct_5d,10,2,265,18,0.06792452830188679,3147,0.1509374006990785,-0.0830128723971917,0.4500178748758689,0.08431223321531385
down_7pct_5d,10,3,298,27,0.09060402684563758,3147,0.1509374006990785,-0.06033337385344091,0.6002755210173083,0.08431223321531385
down_7pct_5d,10,4,274,43,0.15693430656934307,3147,0.1509374006990785,0.0059969058702645794,1.0397310795236265,0.08431223321531385
down_7pct_5d,10,5,384,90,0.234375,3147,0.1509374006990785,0.08343759930092151,1.552796052631579,0.08431223321531385
down_7pct_5d,10,6,306,56,0.1830065359477124,3147,0.1509374006990785,0.03206913524863392,1.2124664602683177,0.08431223321531385
down_7pct_5d,10,7,399,62,0.15538847117794485,3147,0.1509374006990785,0.004451070478866365,1.0294895132568262,0.08431223321531385
down_7pct_5d,10,8,217,24,0.11059907834101383,3147,0.1509374006990785,-0.04033832235806466,0.7327479990298327,0.08431223321531385
