window,evaluation,target,momentum_tail,si_tail,momentum_n,momentum_events,momentum_event_rate,momentum_plus_si_n,momentum_plus_si_events,momentum_plus_si_event_rate,incremental_event_rate_difference,incremental_event_rate_lift
window_1,validation,down_7pct_5d,0.025,0.1,771,195,0.2529182879377432,50,20,0.4,0.14708171206225684,1.5815384615384618
window_1,validation,down_7pct_5d,0.025,0.05,771,195,0.2529182879377432,49,20,0.40816326530612246,0.15524497736837928,1.6138147566718997
window_1,validation,down_7pct_5d,0.025,0.025,771,195,0.2529182879377432,37,17,0.4594594594594595,0.2065411715217163,1.816632016632017
window_1,test,down_7pct_5d,0.2,0.2,6187,740,0.1196056246969452,199,43,0.21608040201005024,0.09647477731310504,1.8066073611299742
window_1,test,down_7pct_5d,0.2,0.1,6187,740,0.1196056246969452,199,43,0.21608040201005024,0.09647477731310504,1.8066073611299742
window_1,test,down_7pct_5d,0.2,0.05,6187,740,0.1196056246969452,195,43,0.2205128205128205,0.1009071958158753,1.8436659736659737
window_1,test,down_7pct_5d,0.2,0.025,6187,740,0.1196056246969452,152,36,0.23684210526315788,0.11723648056621268,1.9801920341394026
window_1,test,down_7pct_5d,0.1,0.2,3175,476,0.1499212598425197,127,29,0.2283464566929134,0.0784251968503937,1.523109243697479
window_1,test,down_7pct_5d,0.1,0.1,3175,476,0.1499212598425197,127,29,0.2283464566929134,0.0784251968503937,1.523109243697479
window_1,test,down_7pct_5d,0.1,0.05,3175,476,0.1499212598425197,123,29,0.23577235772357724,0.08585109788105755,1.5726412516226003
window_1,test,down_7pct_5d,0.1,0.025,3175,476,0.1499212598425197,98,26,0.2653061224489796,0.11538486260645991,1.769636425998971
window_1,test,down_7pct_5d,0.05,0.2,1635,302,0.18470948012232416,75,20,0.26666666666666666,0.0819571865443425,1.4437086092715232
window_1,test,down_7pct_5d,0.05,0.1,1635,302,0.18470948012232416,75,20,0.26666666666666666,0.0819571865443425,1.4437086092715232
window_1,test,down_7pct_5d,0.05,0.05,1635,302,0.18470948012232416,72,20,0.2777777777777778,0.09306829765545363,1.5038631346578366
window_1,test,down_7pct_5d,0.05,0.025,1635,302,0.18470948012232416,55,17,0.3090909090909091,0.12438142896858492,1.6733895243829018
window_1,test,down_7pct_5d,0.025,0.2,894,181,0.20246085011185683,43,15,0.3488372093023256,0.14637635919046876,1.722985995117564
window_1,test,down_7pct_5d,0.025,0.1,894,181,0.20246085011185683,43,15,0.3488372093023256,0.14637635919046876,1.722985995117564
window_1,test,down_7pct_5d,0.025,0.05,894,181,0.20246085011185683,40,15,0.375,0.17253914988814317,1.8522099447513811
